;Локальная тема;Описание
118;Неубранная остановка общественного транспорта;Проблема с плохим содержанием остановок общественного транспорта в Раменках ЗАО Москвы не решается ! Верхнюю часть стеклянных павильонов не моют(фотографии). росим, наложить взыскание на работников и уволить!
119;Отсутствие или повреждение урн;У остановки нет ни одной урны
120;Незаконные объявления, надписи, изображения на павильоне;
121;Повреждение остановочных указателей маршрутов;
122;Незаконные объявления, надписи, изображения на павильоне;
123;Повреждение остановочного павильона;Павильон установлен недавно, а зарядные гнезда не работают...ни одно.
124;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Троллейбус 70 на данной остановке не останавливается.
125;Незаконные объявления, надписи, изображения на павильоне;
126;Незаконные объявления, надписи, изображения на павильоне;
127;Незаконные объявления, надписи, изображения на павильоне;
128;Незаконные объявления, надписи, изображения на павильоне;
129;Повреждение остановочного павильона;Давно не крашена.
130;Незаконные объявления, надписи, изображения на павильоне;
131;Незаконные объявления, надписи, изображения на павильоне;
132;Повреждение остановочных указателей маршрутов;Здравствуйте, поврежден маршрутный указатель
133;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Отсутствует информация об останавливающемся здесь маршруте №351. Так же маршруты 8 и 40 переименованы в т8 и т40. Фото - 19.08.20
134;Незаконные объявления, надписи, изображения на павильоне;
135;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Троллейбусы 6, 43, 70 и 82 на данной остановке не останавливаются.
136;Незаконные объявления, надписи, изображения на павильоне;
137;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Троллейбус 70 на данной остановке не останавливается.
138;Повреждение остановочного павильона;Разбито стекло.
139;Повреждение остановочного павильона;Разбито два стекла.
140;Незаконные объявления, надписи, изображения на павильоне;
141;Повреждение остановочного павильона;Разбито два стекла на крыше остановки.
142;Незаконные объявления, надписи, изображения на павильоне;
143;Незаконные объявления, надписи, изображения на павильоне;
144;Повреждение остановочного павильона;
145;Отсутствие или повреждение урн;Две Урны на остановке,,Оптика,, требуют ,,покраски,, или замены.,у Трамвая.
146;Повреждение остановочного павильона;Разбит лайтбокс на остановке. Почините пожалуйста. Также прошу после замены подключить лайтбокс к электричеству
147;Повреждение остановочных указателей маршрутов;
148;Незаконные объявления, надписи, изображения на павильоне;
149;Незаконные объявления, надписи, изображения на павильоне;
150;Незаконные объявления, надписи, изображения на павильоне;
151;Повреждение остановочного павильона;Разбито два стекла на остановке.
152;Незаконные объявления, надписи, изображения на павильоне;
153;Неисправное электронное информационное табло/пилон;
154;Незаконные объявления, надписи, изображения на павильоне;
155;Незаконные объявления, надписи, изображения на павильоне;
156;Повреждение остановочного павильона;Вот в таком плачевном состоянии у нас павильоны
157;Незаконные объявления, надписи, изображения на павильоне;
158;Незаконные объявления, надписи, изображения на павильоне;
159;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Обновите пожалуйста указатели. Маршрут 43 был заменён на автобусы т43 (теперь иконка троллейбуса лишняя). Также изменилось время работы маршрутов т86 (время работы стало единым), т43 и 597 (другое время работы в будни и выходные) и 818 (другое время работы в будни). Маршрут 597 должен быть слева от маршрута 818 (как на одном из указателей)
160;Неубранная остановка общественного транспорта;Заплевана тротуарная плитка жвачкой. Урны в антисанитарном состоянии. Граффити.
161;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Отсутствует расписание автобуса 26
162;Неубранная остановка общественного транспорта;
