;Локальная тема;Описание
128;Незаконная установка рекламной конструкции;Прошу проверить законность размещения рекламной продукции под стеклом остановки общественного транспорта артековская улица
129;Незаконная установка рекламной конструкции;Здравствуйте. Информационные вывески не соответствуют требованиям. Просьба принять меры. Спасибо. 
130;Несоблюдение требований к размещению информационных вывесок;Рекламные конструкции не соответствуют 902-ПП
131;Ненадлежащее состояние рекламной конструкции;Вот в таком положении находится рекламный щит по адресу: Банный переулок, 3
132;Несоблюдение требований к размещению информационных вывесок;"1. размещение вывесок в границах жилых помещений, в том числе на глухих торцах фасада;  2.размещение настенных вывесок одна над другой;  3. размещение вывесок с использованием картона, ткани, баннерной ткани и других мягких материалов."
133;Несоблюдение требований к размещению информационных вывесок;
134;Несоблюдение требований к размещению информационных вывесок;Реклама на баннерной ткани
135;Несоблюдение требований к размещению информационных вывесок;Размещены информационные вывески закрывающие архитектурные элементы дома в нарушении законодательства города Москвы 
136;Несоблюдение требований к размещению информационных вывесок;Информационные вывески Фитнес и штендер демонтировать необходимо, создают безобразие.
137;Ненадлежащее состояние рекламной конструкции;Уважаемые ,,Рекламные Деятели,, мне непонятно,почему Вы с ,, Таким Упорством,, не видите разницы,, В Оформлении Рекламных Щитов,,.Я имею В виду и Пустые Щиты.Вам Могу предложить Ознакомиться с ,,Бессмертным Произведением ,, С.Михалкова,, Что Такое Хорошо и Что Такое Плохо.Это Хорошо Видно на ,,Двух , представленных Пустых Щитах. Определите.
138;Несоблюдение требований к размещению информационных вывесок;
139;Несоблюдение требований к размещению информационных вывесок;В нарушение требований 902-ПП информационная конструкция размещена на ограждении, прошу демонтировать. Организация постоянно размещает в этом месте подобные баннеры.
140;Несоблюдение требований к размещению информационных вывесок;
141;Несоблюдение требований к размещению информационных вывесок;
142;Незаконная установка рекламной конструкции;
143;Незаконная установка рекламной конструкции;
144;Несоблюдение требований к размещению информационных вывесок;
145;Незаконная установка рекламной конструкции;
146;Несоблюдение требований к размещению информационных вывесок;Консольная конструкция не предусмотрена архитектурно-художественной концепцией по улице Панфиловский проспект
147;Незаконная установка рекламной конструкции;Незаконная установка рекламной конструкции
148;Несоблюдение требований к размещению информационных вывесок;Просьба проверить на нарушение №902-ПП
149;Несоблюдение требований к размещению информационных вывесок;Снова нарушение №902-пп
150;Несоблюдение требований к размещению информационных вывесок;Незаконные вывески на фасаде здания
151;Незаконная установка рекламной конструкции;Как долго это будет продолжаться?
152;Несоблюдение требований к размещению информационных вывесок;
153;Несоблюдение требований к размещению информационных вывесок;"Несоответствие 902-ПП. Вывеска ""Зоосалон"" разбита на две: ""ЗООСА"" и ""ЛОН"". Так делать запрещено. Просьба демонтировать."
154;Несоблюдение требований к размещению информационных вывесок;Несоответствие 902-ПП. Хоть реклама и за стеклом, она должна быть демонтирована. Необходимо выдать предписание собственнику на демонтаж конструкции. Объект взят на усиленный народный контроль.
155;Несоблюдение требований к размещению информационных вывесок;"Несоответствие 902-ПП. Компания Инком закрыла всё остекление непрозрачной плёнкой - незаконно, нужно содрать; вывеска ""Парикмахерская"" находится ниже уровня 1 этажа, просьба демонтировать."
156;Незаконная установка рекламной конструкции;Незаконная растяжка. Просьба демонтировать.
157;Несоблюдение требований к размещению информационных вывесок;Бегущая строка. Информационная конструкция. Нарушение п. 10.2 902-пп. Незаконная установка информационной конструкции.
158;Незаконная установка рекламной конструкции;Проверьте законность размещения рекламного баннера на дорожном ограждении.
159;Несоблюдение требований к размещению информационных вывесок;Рекламная конструкция на фасаде без решения собрания собственников
160;Несоблюдение требований к размещению информационных вывесок;"в 2019 году помещения на 1 этаже арендовало ООО ""Лакрима"" (Sohomarket), арендатор размещал на фасаде свою вывеску. В этом же году ООО ""Лакрима"" заключил договор со стоматологией о том, что они ""уступают"" им часть фасада для размещения вывески. Договор с ООО Лакрима собственником был расторгнут, но вывеску стоматология не убирает"
