;Локальная тема;Описание
187;Некачественное содержание инфраструктуры в парке;
188;Неисправность элементов освещения в парке;Не горят
189;Неубранная парковая территория;Неубранные ветки и мусор со стороны улицы Немчинова.
190;Некачественное содержание инфраструктуры в парке;
191;Ненадлежащий уход за зелеными насаждениями в парке;Полностью уничтожена растительность колесами грузовика.
192;Ненадлежащий уход за зелеными насаждениями в парке;На ООПТ «Братеевская пойма» (образована Постановлением Пр-ва Москвы №67-ПП от 06.02.2019) выкошен луговой высокотравный газон (нарушение п. 4.2.13 Постановления Пр-ва Москвы №743-ПП и п. 5.2.14. Нормативно-производственного регламента от 29 октября 2013 г. N 326) - ширина полосы покоса превышает ширину 1,5 метра.
193;Некачественное содержание инфраструктуры в парке;
194;Ненадлежащий уход за зелеными насаждениями в парке;Работу необходимо довести до конца.
195;Неисправность элементов освещения в парке;Много негорящих фонарей
196;Неисправность элементов освещения в парке;На всем бульваре на столбах горит только 1 фонарь из двух. Насчитал более 10 столов с неработающими фонарями
197;Ненадлежащий уход за зелеными насаждениями в парке;
198;Ненадлежащий уход за зелеными насаждениями в парке;
199;Ненадлежащий уход за зелеными насаждениями в парке;
200;Некачественное содержание инфраструктуры в парке;Добрый день. Почему в таком состоянии лавочки для отдыха ?Нужно покрасить все лавочки возле пруда.
201;Ненадлежащий уход за зелеными насаждениями в парке;Работу необходимо довести до конца.
202;Ненадлежащий уход за зелеными насаждениями в парке;
203;Неубранная парковая территория;
204;Неисправность элементов освещения в парке;
205;Некачественное содержание инфраструктуры в парке;Насквозь проржавела очень востребованная урна у мостика через речку Сходня со стороны детской спортивной школы 103 олимпийского резерва ( ул. Василия Петушкова,10) - на особо охраняемой природной территории, входящей в состав Природно- исторического парка Тушино 
206;Неисправность элементов освещения в парке;
207;Неубранная парковая территория;Валяются спиленные ветки около дерева - сквер Дмитрия Михайлика.
208;Неубранная парковая территория;
209;Неисправность элементов освещения в парке;Не горят 2 фонаря.
210;Неисправность элементов освещения в парке;Плафона нет
211;Неисправность элементов освещения в парке;Открыто эксплутационное окошко
212;Неисправность элементов освещения в парке;
213;Некачественное содержание инфраструктуры в парке;Через разрушенные участки борткамня грунт вымывается на дорожки парка. Один из наглядных примеров есть на фото. Прошу отремонтировать борткамень.
214;Некачественное содержание детской площадки в парке;Добрый день! В сквере Фёдора Полетаева на большой детской площадке, одни из качелей сломаны, оторвались крепления с одной стороны . Просьба восстановить работоспособность качелей.
215;Ненадлежащий уход за зелеными насаждениями в парке;
216;Неисправность элементов освещения в парке;~30% светильников в парке не работают. На фото как пример фонарь возле церкви: из двух лампочек работает только одна.
217;Наличие опасно выступающих элементов в парке;Спил трубы торчит у скамейки рядом с детской площадкой. Прошу удалить.
218;Неисправность элементов освещения в парке;
219;Неисправность элементов освещения в парке;
220;Некачественное содержание детской площадки в парке;На детской площадке сломана качель на пружине. Просьба починить. Спасибо.
221;Некачественное содержание инфраструктуры в парке;Поврежден асфальт на очень востребованной пешеходной дорожке: сколы, трещины и разломы по всей длине , идущей от детской спортивной школы 103 ( ул. Василия Петушкова,10) до ближайших остановок общественного транспорта на ул. Василия Петушкова,27- на особо охраняемой природной территории, входящей в состав Природно- исторического парка Тушино 
222;Неисправность элементов освещения в парке;Почему все время вечером нет освещения 
223;Ненадлежащий уход за зелеными насаждениями в парке;На одной лужайке местами не покошена трава. И так по всему скверу - сквер Дмитрия Михайлика.
224;Неисправность элементов освещения в парке;Не работают 8 фонарей.
225;Неисправность элементов освещения в парке;Не работает один из фонарей на площадки для выгула собак.
226;Ненадлежащий уход за зелеными насаждениями в парке;На поляне парка напротив дома 14 кор 5 по ул академика Янгеля с начала лета 2020 ни разу не производился покос сорных растений. В результате в настоящее время поляна заполнена репейником в человеческий рост . Вид поляны неприглядный, заброшенный. Просим принять меры!
